InvoiceID,UsageDate,ServiceName,ResourceType,Region,Cost,UsageQuantity,LinkedAccount
INV-8366,2025-07-17,S3,Storage,us-east-1,53.6,37.52,97625
INV-8668,2025-07-17,ECS,Compute,ap-south-1,67.23,73.23,74722
INV-6286,2025-07-17,Lambda,Networking,us-west-2,4.33,15.69,85336
INV-4828,2025-07-17,RDS,Networking,us-west-2,7.71,5.9,48864
INV-1204,2025-07-17,EBS,Storage,ap-south-1,64.76,60.15,97783
INV-6420,2025-07-17,RDS,Compute,eu-west-1,3.15,2.16,21771
INV-7283,2025-07-17,S3,Database,us-west-2,29.8,83.26,48069
INV-6703,2025-07-17,RDS,Storage,us-east-1,5.77,18.26,71650
INV-1226,2025-07-17,EC2,Storage,ap-south-1,24.72,30.49,98963
INV-1114,2025-07-17,EC2,Networking,us-west-2,20.43,43.25,39464
INV-5457,2025-07-17,RDS,Database,ap-south-1,15.44,61.22,91110
INV-7220,2025-07-17,RDS,Database,us-east-1,17.02,29.29,22180
INV-2080,2025-07-17,EC2,Networking,us-west-2,54.27,45.66,46156
INV-6637,2025-07-17,CloudFront,Networking,ap-south-1,15.95,20.05,21096
INV-7264,2025-07-17,S3,Compute,us-west-2,6.96,59.28,57030
INV-3140,2025-07-17,EC2,Storage,ap-south-1,18.07,60.79,29458
INV-4763,2025-07-17,RDS,Storage,us-west-2,9.41,6.6,85104
INV-4206,2025-07-17,EC2,Storage,us-west-2,118.03,96.57,87210
INV-7502,2025-07-17,S3,Networking,us-east-1,5.85,30.53,40082
INV-5152,2025-07-17,CloudFront,Storage,eu-west-1,47.11,68.45,90260
INV-8594,2025-07-17,EBS,Database,eu-west-1,9.44,12.29,64317
INV-8511,2025-07-17,EBS,Storage,us-east-1,4.84,3.54,16392
INV-6818,2025-07-17,ECS,Database,eu-west-1,26.23,25.95,52449
INV-1968,2025-07-17,RDS,Compute,us-west-2,25.12,31.24,52817
INV-4837,2025-07-17,RDS,Storage,us-east-1,17.4,54.72,56678
INV-9112,2025-07-17,S3,Networking,ap-south-1,113.83,96.96,76595
INV-9176,2025-07-17,EC2,Networking,us-east-1,126.61,93.96,42739
INV-7143,2025-07-17,ECS,Compute,ap-south-1,82.97,59.83,88537
INV-9801,2025-07-17,RDS,Networking,ap-south-1,2.99,8.94,48468
INV-9604,2025-07-17,EBS,Compute,eu-west-1,2.41,4.62,23068
INV-4687,2025-07-17,Lambda,Compute,ap-south-1,17.26,38.93,65502
INV-3292,2025-07-17,CloudFront,Networking,us-east-1,47.02,82.89,61759
INV-1688,2025-07-17,EBS,Compute,ap-south-1,23.58,28.17,58575
INV-6740,2025-07-17,EC2,Database,us-west-2,17.2,14.18,26636
INV-2297,2025-07-17,EC2,Networking,eu-west-1,11.18,7.55,70379
INV-8894,2025-07-17,EC2,Storage,ap-south-1,26.12,77.25,74722
INV-2602,2025-07-17,EC2,Storage,us-west-2,0.8,0.65,11131
INV-3696,2025-07-17,RDS,Storage,us-east-1,78.29,70.72,17165
INV-4876,2025-07-18,CloudFront,Compute,ap-south-1,12.14,77.15,51751
INV-4381,2025-07-18,S3,Networking,ap-south-1,7.83,35.91,24785
INV-5296,2025-07-18,CloudFront,Storage,ap-south-1,82.33,86.32,96962
INV-3129,2025-07-18,RDS,Database,eu-west-1,4.71,33.16,45689
INV-2655,2025-07-18,Lambda,Networking,ap-south-1,16.26,31.17,56913
INV-9249,2025-07-18,Lambda,Storage,us-east-1,71.13,72.99,98536
INV-5228,2025-07-18,RDS,Database,eu-west-1,65.19,88.73,19923
INV-1440,2025-07-18,Lambda,Database,us-east-1,13.06,12.05,21721
INV-6813,2025-07-18,CloudFront,Storage,ap-south-1,65.74,76.1,79636
INV-6831,2025-07-18,CloudFront,Database,us-west-2,59.07,77.12,70305
INV-8169,2025-07-18,CloudFront,Database,us-west-2,35.05,52.32,76319
INV-8711,2025-07-18,Lambda,Storage,ap-south-1,0.55,2.64,82020
INV-7988,2025-07-18,EBS,Networking,ap-south-1,3.15,3.24,94915
INV-4928,2025-07-18,RDS,Networking,us-west-2,24.8,31.5,17765
INV-6928,2025-07-18,Lambda,Database,us-west-2,37.35,90.77,40341
INV-3593,2025-07-18,EC2,Networking,us-east-1,47.08,41.1,61657
INV-7267,2025-07-18,EBS,Networking,us-west-2,3.71,22.96,61449
INV-5071,2025-07-18,CloudFront,Storage,eu-west-1,8.24,29.05,78798
INV-9310,2025-07-18,RDS,Networking,ap-south-1,113.6,92.98,59106
INV-3996,2025-07-18,RDS,Compute,eu-west-1,83.26,63.38,90983
INV-2840,2025-07-18,ECS,Database,eu-west-1,25.77,80.39,66535
INV-4116,2025-07-18,RDS,Networking,eu-west-1,74.28,89.27,44836
INV-9123,2025-07-18,EBS,Storage,ap-south-1,108.97,80.76,44096
INV-1509,2025-07-18,RDS,Storage,eu-west-1,6.68,31.87,79844
INV-6779,2025-07-18,EC2,Compute,us-west-2,15.31,22.87,12922
INV-3085,2025-07-18,EBS,Storage,us-west-2,106.21,81.82,68906
INV-1555,2025-07-18,ECS,Database,us-west-2,0.62,0.79,38062
INV-4823,2025-07-18,EBS,Storage,eu-west-1,15.55,41.8,87264
INV-3515,2025-07-18,CloudFront,Storage,ap-south-1,6.51,12.07,96313
INV-2406,2025-07-18,RDS,Networking,ap-south-1,48.91,94.3,94110
INV-8409,2025-07-18,S3,Storage,ap-south-1,55.53,51.93,56761
INV-7862,2025-07-18,EBS,Networking,us-east-1,53.15,36.43,72624
INV-7947,2025-07-19,EC2,Database,ap-south-1,39.95,96.25,81635
INV-9809,2025-07-19,EC2,Compute,eu-west-1,24.21,49.78,74875
INV-3228,2025-07-19,EC2,Networking,us-east-1,2.96,28.56,50265
INV-7314,2025-07-19,EBS,Compute,ap-south-1,47.51,61.0,31934
INV-9869,2025-07-19,RDS,Database,us-east-1,2.38,5.24,87855
INV-2466,2025-07-19,RDS,Database,ap-south-1,36.1,90.84,70630
INV-8879,2025-07-19,EBS,Database,us-east-1,11.07,14.57,43003
INV-1523,2025-07-19,RDS,Compute,ap-south-1,39.52,98.57,41430
INV-4054,2025-07-19,Lambda,Storage,us-west-2,77.63,67.25,80749
INV-9367,2025-07-19,Lambda,Database,us-west-2,26.36,23.84,29197
INV-2002,2025-07-19,EC2,Networking,us-east-1,35.62,36.84,52528
